id,body
1,차분함
2,활발함
3,신중함
4,즉흥성
5,계획성
6,내향성
7,외향성
8,감성적
9,이성적
10,낙천적
11,현실적
12,대담함
13,소극적
14,유연함
15,고집있음
16,온화함
17,냉철함
18,낯가림
19,친화력
20,독립적
21,의존적
22,집중형
23,분산형
24,인내심
25,추진력
26,안정적
27,모험적
28,침착함
29,열정적
30,조용함
31,표현적
32,관찰형
33,주도형
34,반응형
35,민감함
36,둔감함
37,단순함
38,복합적
39,즉답형
40,숙고형
41,완벽주의
42,대충주의
43,감정기복
44,일관성
45,호기심
46,보수성
47,개방성
48,결단력
49,우유부단
50,끈기
51,회복탄력성
52,자기통제
53,몰입력
54,산만함
55,집요함
56,낙관주의
57,비관주의
58,차가움
59,따뜻함
60,솔직담백
61,신중발언
62,에너지넘침
63,에너지절약
64,조심성
65,대범함
66,예민함
67,무던함
68,침묵형
69,수다형
70,관대함
71,엄격함
72,정서안정
73,정서민감
74,즉각반응
75,지연반응
76,자기주도
77,의견수용
78,비판적
79,수용적
80,분석적
81,직관적
82,논리중심
83,감정중심
84,집중지속
85,전환빠름
86,자기객관화
87,자기확신
88,가족중심
89,개인중심
90,자기계발
91,워라밸
92,안정추구
93,성장지향
94,경험중시
95,의미중시
96,결과중심
97,과정중심
98,전통중시
99,변화수용
100,도전정신
101,실용주의
102,이상주의
103,책임감
104,자율성
105,성실함
106,신뢰중요
107,약속중시
108,꾸준함
109,효율중시
110,여유지향
111,몰입지향
112,균형중시
113,미래지향
114,현재중시
115,장기시야
116,단기집중
117,자기성찰
118,타인존중
119,공정의식
120,윤리중시
121,현실타협
122,원칙중시
123,개방적사고
124,보수적사고
125,자아실현
126,소확행
127,만족지향
128,자기표현
129,자기보호
130,성취욕구
131,안전의식
132,리스크감수
133,책임회피
134,성장욕
135,안정욕
136,경쟁지향
137,협력지향
138,자기효능감
139,공동체의식
140,사회적책임
141,환경의식
142,지속가능성
143,평등중시
144,공감중시
145,존중중시
146,자기존중
147,타인배려
148,실패수용
149,도전수용
150,학습지향
151,배움욕구
152,정체회피
153,변화추구
154,만족추구
155,행복중시
156,의미추구
157,효과중시
158,속도중시
159,완성도중시
160,타협중시
161,원칙우선
162,유연대응
163,책임수행
164,역할중시
165,자율결정
166,타인의견존중
167,자기판단중시
168,신중한선택
169,아침형
170,저녁형
171,규칙적
172,불규칙적
173,바쁜일상
174,여유있는일상
175,집중생활
176,활동중심
177,집순이
178,외출선호
179,혼자시간중시
180,함께시간중시
181,정리정돈형
182,자유분방형
183,미니멀
184,소유중시
185,자연친화
186,도시취향
187,반려동물
188,반려식물
189,산책습관
190,운동루틴
191,카페생활
192,집밥위주
193,외식위주
194,느린페이스
195,빠른페이스
196,계획소비
197,즉흥소비
198,절약형
199,소비형
200,취미몰입
201,휴식중시
202,일중심
203,삶중심
204,주말외출
205,주말휴식
206,혼밥익숙
207,공유생활
208,독립생활
209,야행성
210,조기기상
211,일정관리
212,시간여유
213,시간부족
214,멀티태스킹
215,단일집중
216,정돈습관
217,청결중시
218,위생중시
219,건강관리
220,수면중시
221,야식빈도
222,카페인선호
223,무카페인
224,운동선호
225,비운동
226,스트레칭
227,홈트
228,야외활동
229,실내활동
230,일기작성
231,기록습관
232,플래너사용
233,즉흥계획
234,계획변경
235,혼행
236,동행선호
237,장거리이동
238,근거리선호
239,대중교통
240,자차이용
241,대화중시
242,경청중심
243,말수적음
244,말수많음
245,질문형
246,설명형
247,공감형
248,해결형
249,조언형
250,반응중심
251,리액션풍부
252,진지대화
253,가벼운대화
254,유머사용
255,직설표현
256,완곡표현
257,솔직함
258,신중한표현
259,연락자주
260,연락자유
261,꾸준한연락
262,필요시연락
263,갈등회피
264,갈등조율
265,존중중시
266,배려표현
267,감정공유
268,감정절제
269,신뢰중시
270,속도맞춤
271,주도대화
272,흐름대화
273,깊은관계선호
274,가벼운관계
275,장기관계
276,천천히친해짐
277,빠른친밀감
278,안정적관계
279,자유로운관계
280,관계유지
281,의사표현
282,의견조율
283,피드백수용
284,피드백제공
285,논쟁회피
286,건설적토론
287,경계존중
288,거리유지
289,친밀지향
290,독립존중
291,의존회피
292,비언어소통
293,표정풍부
294,톤안정
295,톤활기
296,공감반응
297,요약반응
298,질문확장
299,경청유지
300,신뢰형성
301,관계관리
302,갈등관리
303,감정케어
